Reviews ID,userName,rating,Text,Date
c115413e-63da-4bdd-86f7-043fe8f5d6e8,Pengguna Google,1,"jujur baru kali ini kecewa , masa akun buat nge post motivasi malah ke priv sendiri, abis tu di kasih opsi buat nambahin wali, giliran di tambahin malah ga bisa . Jadi ni konsep nya ga ngizinin org berkembang ya ? , tau gitu ga aku update sumpah",2025-04-25 15:31:30
5e5ae458-cab4-4bde-b2cd-e47ea555e1c2,Pengguna Google,1,kenapa Bulan April 2025 saya memasukkan Nama Pengguna Dan Sandi untuk login dihp saya tidak bisa dan tertulis SANDI SALAH terus. padahal Sandi dan Nama Pengguna sudah benar benar betul!!! bantuann dari Instagram Gimana???,2025-04-25 15:29:44
6e1019f1-3e9f-49df-af96-5e3783ab83d4,Pengguna Google,1,why the feed is not square disappointing!,2025-04-25 15:27:56
a9b1ecd0-6618-4068-8bce-3699d40ea1e5,Pengguna Google,1,Salman Dinda saldin,2025-04-25 15:25:25
9ad38130-4ab2-4df6-aad6-c737f9699558,Pengguna Google,5,ok,2025-04-25 15:22:16
84b66eaf-a641-4416-88cf-0333d42dc1e1,Pengguna Google,2,fitur catatan kok dihapus? padahal bagus bgt,2025-04-25 15:21:28
0c21a5e6-0c9f-41e9-b1aa-b31b4dec435c,Pengguna Google,1,"..sew, MI x. zzzzz.",2025-04-25 15:20:29
1fb2c1b2-4ffd-4bfe-844d-ae50329e7431,Pengguna Google,5,semoga semakin baik,2025-04-25 15:15:55
65d495f1-7c83-4b3b-b389-40a27eb43af8,Pengguna Google,5,mantap,2025-04-25 15:15:26
f3bf11a8-7eb8-482a-89ee-12f412ad746f,Pengguna Google,5,apps yang sangat bermanfaat 😊,2025-04-25 15:12:54
b57165e7-2094-4c1b-a00e-546d4d215275,Pengguna Google,4,mantap,2025-04-25 15:11:01
34ef53aa-441d-4e99-8b6a-e04ff63a095e,Pengguna Google,5,bagus banget suka deh,2025-04-25 15:10:40
